Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
A hybrid XGBoost–SVM ensemble framework for robust cyber-attack detection in the internet of medical things (IoMT),Scientific Reports,,,,10.1038/s41598-026-37832-0,Maha AbdelhaqSatheeshKumar PalanisamyM. GopinathV. Gnana Sri ManasaM. Aditya RamSajid Khan MD,2026,https://link.springer.com/article/10.1038/s41598-026-37832-0,Article
Enhancing IoMT security: a novel blockchain-based anomaly detection framework leveraging explainable AI,Cluster Computing,,,,10.1007/s10586-025-05836-6,Aashima SharmaSwastik SharmaSimarjit Kaur,2026,https://link.springer.com/article/10.1007/s10586-025-05836-6,Article
A novel adaptive hybrid intrusion detection system with lightweight optimization for enhanced security in internet of medical things,Scientific Reports,,,,10.1038/s41598-025-31897-z,Hassan SaeedMehwish NaseerAfaf RasoolAmjad AlsirhaniFaeiz AlserhaniGhadah Naif AlwakidFarhan UllahHamad NaeemYue Zhao,2025,https://link.springer.com/article/10.1038/s41598-025-31897-z,Article
An explainable AI-driven transformer model for spoofing attack detection in Internet of Medical Things (IoMT) networks,Discover Applied Sciences,,,,10.1007/s42452-025-07071-5,Mohammad A. AlsharaiahMohammed Amin AlmaiahRami ShehabMansour ObeidatFuad Ali El-QiremTheyazn Aldhyani,2025,https://link.springer.com/article/10.1007/s42452-025-07071-5,Article
Adaptive Hybrid Information Gain and Autoencoder-Based Feature Selection with Ensemble Recurrent Extreme Learning Machine for Enhanced Network Intrusion Detection Systems,Journal of Network and Systems Management,,,,10.1007/s10922-025-09976-3,Mustafa Muslih ShwayshAbadal-Salam T. HussainSinan Q. SalihTaha Abdulsalam AlmulaisiAhmed Dheyaa RadhiHasan Shakir MajdiHazry Desa,2025,https://link.springer.com/article/10.1007/s10922-025-09976-3,Article
Intrusion detection in IoMT systems using hybrid CNN-GRU deep learning model,Cluster Computing,,,,10.1007/s10586-026-06199-2,Shoog AlshehriAsma Alnemari,2026,https://link.springer.com/article/10.1007/s10586-026-06199-2,Article
An interpretable dimensional reduction technique with an explainable model for detecting attacks in Internet of Medical Things devices,Scientific Reports,,,,10.1038/s41598-025-93404-8,Swati LipsaRanjan Kumar DashNikola Ivković,2025,https://link.springer.com/article/10.1038/s41598-025-93404-8,Article
SmartHive-IDS: an advanced intrusion detection framework for SDN-HoneyNet enabled ICPS using hybrid explainable ensemble feature selection with optimized Bi-LSTM,Cluster Computing,,,,10.1007/s10586-025-05648-8,S. KrishnaveniSherali ZeadallyS. SivamohanS. S. Sridhar,2025,https://link.springer.com/article/10.1007/s10586-025-05648-8,Article
Securing the internet of medical things (IoMT): a multi-stage machine learning approach for effective intrusion detection,International Journal of Machine Learning and Cybernetics,,,,10.1007/s13042-026-03213-2,Lo’ai TawalbehRama Jaradat,2026,https://link.springer.com/article/10.1007/s13042-026-03213-2,Article
Network Intrusion Detection System Using Convolutional Neural Networks: NIDS-DL-CNN for IoT Security,Cluster Computing,,,,10.1007/s10586-024-04904-7,Kamir KharoubiSarra CherbalDjamila MechtaAmjad Gawanmeh,2025,https://link.springer.com/article/10.1007/s10586-024-04904-7,Article
SurIoT: Automatic generation of Internet-of-Medical-Things Network Intrusion Detection and Prevention Rules,International Journal of Information Security,,,,10.1007/s10207-026-01285-3,Lerina AversanoStefano GalantucciAndrea Porcelli,2026,https://link.springer.com/article/10.1007/s10207-026-01285-3,Article
An Efficient Explainable Unsupervised Machine Learning Approach for&#xa0;Network Intrusion Detection in&#xa0;IoMT,Information and Communication Technology,,,,10.1007/978-981-96-4285-4_26,Van LeHai Minh TranQuang Minh TranTung Bui,2025,https://link.springer.com/chapter/10.1007/978-981-96-4285-4_26,Conference paper
EGOA -DL-IDS: explainable intrusion detection in SDN-based industrial cyber physical system with optimized deep learning techniques,Cluster Computing,,,,10.1007/s10586-026-06040-w,Sivamohan SSasi Rekha SankarKrishnaveni SB. JothiThiyagu T,2026,https://link.springer.com/article/10.1007/s10586-026-06040-w,Article
Multi-attention DeepCRNN: an efficient and explainable intrusion detection framework for Internet of Medical Things environments,Knowledge and Information Systems,,,,10.1007/s10115-025-02402-9,Nikhil SharmaPrashant Giridhar Shambharkar,2025,https://link.springer.com/article/10.1007/s10115-025-02402-9,Article
A versatile XAI-based framework for efficient and explainable intrusion detection systems,Annals of Telecommunications,,,,10.1007/s12243-025-01118-9,Beny NugrahaAbhishek Venkatesh JnanashreeThomas Bauschert,2025,https://link.springer.com/article/10.1007/s12243-025-01118-9,Article
Quantized autonomous edge intrusion detection system for adaptive feature aware internet of medical things networks,Discover Computing,,,,10.1007/s10791-026-10310-x,Sanjoy MondalAyesha KhatunMoinuddinKhondekar Lutful HassanChin-Shiuh Shieh,2026,https://link.springer.com/article/10.1007/s10791-026-10310-x,Article
Hybrid Cross-Temporal Contrastive Model with Spiking Energy-Efficient Network Intrusion Detection in IOMT,International Journal of Computational Intelligence Systems,,,,10.1007/s44196-025-00995-1,Fatma S. AlrayesMohammed ZakariahSyed Umar AminZafar Iqbal KhanMaha Helal,2025,https://link.springer.com/article/10.1007/s44196-025-00995-1,Article
